Name,Tag
DD Plus 12,Dog
Goujonn,EUW
Renegade1970,EUW
TheYoungestSmurf,EUW
movement,jesus
TetuTopAcc,2710
Savage Taco,Taco
lol135fiora,EUW
Gixray,1305
Beerus,破壊する
Definitely Laner,EUW
0100121021,EUW
Mui Westside,EUW
Cheese Kimbap,EUW
wartravel,EUW
LILLY KONG,affe
BlijfPositief,EUW
Lucius,heart
乌鸦领主,raven
Catcer Patient,001
Zersky,916
Daisy is my Duo,Ivern
EliowZ,EUW
nortonuss,EUW
Nuclear Malphite,BOOM
zvi,EUW
mor elo karsiti,1173
Ptityordle,veig1
RazorXdead,EUW
Noëlor,WAEH
ElSeñorDelTrueno,Zed
GamerDuFutur,EUW
Illyrian,2000
Arga Sniffaren,Sniff
Gwandolyarador,EUW
3arbi malicieux,FREAK
ะะぷ,III
d9r6Ak3,KAA
just one barrel,EUW
Dream Girl,HOT
michal aniol,EUW
Mirrow,KING
F5 FREAKBOB,ADAC
Velpstein Kirkoz,bear
ttv spankanatorx,LMAO
Laodih,cak
Flack,AGI
Pextu,EUW
河马王躲起来了,EDG
Bjarni McNasty,EUW
AoE Neezia,EUW00
igorgaming,VMS
Mokujin,7330
DYLAN HARPER,ROTY
DR4GONORE,EUW
B4LLS4CK一一一一SW4G,VES
iAupa,EUW
beanybopper,000
Fujiko,aoi
Who is who,Auwan
Specter,Not
zugoi,EUW
Jellyous,IXS
악몽천사운명,LPL
T1 47O,3PEAT
Nam,505
Cozy Enjoyer,EUW
T1 shocik,eve
Johnny Joestar,Τusk
Zedorzo,GGWP
wislashark dzigi,997
Racco,oooon
Ginrais,EUW
Ëyvy,EUW
Centaurus,6666
Jammer,LosB
Doxaka,EUW
March 18th 1925,janna
战斗是我的理由,sword
Legatus,000
Ricki,CHAOS
Noir AGRRRESSIF,NWAR
PANDISTELLE,8894
Yassuo,OVO
mane lux,EUW
KnüppelausmSack,EUW
Lygon 147,EUW
Gönnn,Frogy
Blazo,4545
Bagd,EUW12
WorstVayne JAPAN,EUW
TFS Imperator,EUW
Monte621,621
Crusien,EUW
Boss,Benji
Jasariak,EUW
Jahudi John,Angel
Erika Fanboy,Fancy
Voluxa,EUW
Winter,Gale
Matix,2626
Intensolo,EUW
Bellé,NOPE
Bech,Mag
Belhbyte,kaomi
Dino Nugget,DIP
hach,1710
Hae In Cha,666
Wettnoodles,Wett1
ŒIL DU NÉANT,VelK
WolfNoxx,EUW
NurLxstig,EUW
domovní bratr,num0
TSU Tibbers,EUW
Stoonley,goofy
BindingOfTop,EUW
Gladiator,9564
ForestIord,EUW
LPDN DonFabino,EUW
LOLOLOLOLO13377,EUW
Aqua Caitleen,SNIPE
Jhern KR,EUW
FLOMAYUSI,BWIP
Lordon93Y,EUW12
sleepyeyes,awr
Kanki,Crush
CM Punk,1963
Composed,777
Airobloodin,Alex7
DarkLegend478,EUW
Veecto,EUW
LOL HUAN GAME,EUW
Shinu,Akuma
Tr1cks5ter,EUW
Sanger619,EUW
GulliSchnulli,EUW
Iván,SUPP
避税多就得查,大司马
Lumyru,EUW
Sjösjuk,EUW
den lille toucan,ankom
impostor support,ff15
GGBond,EUWE
Jack is here ,EUW
Menestarr,3696
kittycat12,kitty
Unlucky Boy,0777
IHateYaa,EUW
furytail,EUW
beemzy,meow
Kameyama,EUW
hiqo212,777
WeiZoR,100
sans emploi,EUW
Rühles,1410
nikolav1234,EUW
Damask Rose,2323
Saitamanama,EUW
idk a nobody,alive
Leviathan,QQQ
Kauhu,EUW
Lunddorf,EUW
Blades End,7537
Ihrax,EUW
Anior,6767
Onex v2,EUW
l Φ l Φ x,EUW
Boblevand,EUW
GeeP,JESUS
Rick Grime,shane
Trust,1999
BOC lgnzkZ,BOC
Chama,MA7
Morzi,EUW
Bring the Rakija,EUW
KALI YUGA,PLUTO
Functionaliteit,Stray
Yanuki,1234
Animeshon27830,EUW
Daawgtrox,Dawg
AporedAMK,EUW
EckoRey,EUW
Rανεη,0503
AirinOfNade,EUW
Closing Night,1212
Thomastrix,EUW
WeeboSaurusRex,EUW
Idk78,EUW
Hansen,2727
Malik,3523
HalSanach,EUW
TwitchTvSwissifa,TTV
The Lawn,EUW
Blebman,bomba
GOGlTCH,9999
Mordziaty,EUW
Zeus Bin Abdul,Pro
HardstuckPiggy,EUW1
Cheb Tirera,URGOD
LNR Apoevix,EUW
Sjedow,EUW
Colin Morgan,EUW
naykiskater,000
Ceray,Glasc
KrzysiekMagik,SOPCM
VDA CameL,EUW
Kilagram,00001
NotWhoYouThink,3603
Silverisys,DMN
marc0oxp,EUW
banan23,4260
I am very cool,EUW
poutrepoutre,3637
pomni,fan
Moe Szyslak,DUFF
심핑포블런트,45254
Comfortably,Empty
Koriai,142
KIM Oski,EUW
Yuukie,EUW0
The Rift Kid,EUW2
Restrict,TUGAL
Shensei,TCDK
0010100101,EUW
BS Blizzard,EUW
Ba Jio,EUW
Pind Diesel,EUW
イロおじさん,015
kajshdsak,EUW
BS Art,Soul
Smøkd,EUW
xImTheGiac,EUW
BLD Rucksack,BLD
Nauuli,EUW
GODXSHO,TTV
spirintedaway,INT
Myst,BTA
TH Stend,000
INNAXE INT ACC,LOW
Torben Tissemand,888
Torben Tissemand,888
Fërb,BBC
马头马头马头马头,0104
Oreo jungle ,EUW
Chaoji wanjia ad,EUW
ShaÐow,Fated
Dyna,4707
Slitzeyker,EUW
Atomic NoXuS,Love
Hachι,EUW
Magicarper,EUW
LerdoPlays,EUW
HitsDiogo,uwu
OkayGarminTftAcc,yesse
FireAscept,1013
Overdan,19CM
dittricH,EUW
Shînomiya,Yonko
Maionis,uwuwu
SlimSimple,123
Peerless Scarred,529
success seeker,MEOW
Shaíduck,ADC
Konjac,NWG
DG LFBee,Recon
reluwa,REL
FerrumFigge,EUW
kuromi,akali
Yhwach,409
Chaewon,01010
Putk0Trep4ch4,kata
LaGHigH,EUW
Caoskhimera,EUW
p dał,EUW
StepBackTheCat,CORPO
uznnaT,EUW
Aεstral,EUW
Laursen,Lau
Miikez,EUW
Hłnata Shoyo,EUW
TheLastMarksman,EUW
Raja Jackson,MMA
RaptorRex99,EUW
f4rgot,9854
Daddy Corax OwO,XIX
MAISON HANTÉE,WRNOI
Chibi,Stray
JamesLP123,EUW
YILLARIMIZIVERDK,JEZZ
WE ARE CLEAN,CLEAN
Cols Seiryu,EUW
Ogeny,EUW
1247219878291461,EUW
Docteur Pudge,EUW
BENDØ NA BENDØ,EUW
Elwyy,EUW
Saigo No Inori,EUW
Sylox,119
302victoire,EUW
FakePINKwings,EUW
JustinBieberHoT1,EUW
Mental Reset,187
TU PapY PRo PlaY,EUW
RSC Diesale,EUW
Mokele Mbembe,CRPTD
Snoozi,OTS
Le Chef,COOK
Rivalguard,EUW
LFA TueurEnZeri,LFA
luz,2623
playsafeteamxD,EUW
ManiaxTime XD,EUW
Noaman,42069
Conti,EUW
PROSIT,EUW
tomxs,099
Seijuro Akashi,8798
Stazja,noob
MQsBronze,EUW
Zeaid,Pal
Vincent,PGM
cert lover boy,facts
Liv,77777
Gilotyna,EUW
Sena Ajisai,Rena
Emma Laxmoi,MEUF
Samakyna,EOKS
ThexanAstar,12535
Carsten591,EUW
Reus1110,EUW
GÓTICO CULON,SAD
SchröÐingersKat,EUW
La Sécheresse,EUW
PatkicaA,EUW
SOUMIS,LUCIE
BCbanguer,EUW
PEACH ICE TEA,III
SebastienLeHomar,EUW
REFORMEDTOPLANER,WIN
slammed,haha
Luxella,420
owlonsky,999
xGenious,MAHDI
jannsenn,chong
lDemexl,EUW
4ndre,4d4pt
Azires,EUW
GL4ZE,0032
svategu,EUW
Ekeos,EUW
AD no C,West
Fauer,MOS
EQFSadge,Kekw
Łeÿłâ,uwu
Bαbushkα Boi,EUW
not SpawlzZ,EUW
Ryéx,EUW
LR Deivis,1510
Yunaras Balls,100
LordJosch1999,EUW
HideOnSarriguren,EUW
zlq,joker
kimi made,EUW
Rydja,EUW
PROTAGONISTA,SOYYO
nenad1717,EUW17
JT0,OKC
capitán langosto,EUW
Thomas Dachlos,purrr
240415,EUW
BARREL,PLANK
OR TAMBO,jabu
Aruarian dance,EUW
koniec,ligi
Expedition 27,grief
Keklex,EUW
KyoKay,GOAT
Vexxar,5919
Christian Dup,EUW
dauðr,021
YukiJudaii,ovo
mynameissky,wewoo
Rey Misterio,bronz
Samuelz,EUW
rice lover,ESP
IljaGHG,Maja
windows 7,xviii
edolas04,EUW
DM Rüizzy,EUW
Xendario,Punch
Cornfield Chase,BH20
jyocho,EUW
jetzt langts,EUW
Ignis,lec
his naafiri,euwww
timmy,BRÖL
Kylar,FOX
Naoufel Blk,SANG
Berlian,vlynn
razas dad MIA,EUW
wolfs child,EUW
PlsPickMeXayah,Otter
messefy,6969
little kitten,xoxo
DeathDeX,EUW
Feral,RIVEN
KISS OF DEATH,YEN
MickaGOOAT,LVL
JJsmile,NODMG
XD404,EUW
Furezi,1311
TimNodop,SGE
InzeratNaVarhany,L9VV
Flavio,1112
Hünk,EUW
lahcam,mkw
Lentus,Supp
BestScriptsever,EUW
KAL4,EUW
Undercover,LBM
AriaUK,EUW
Hi im DagiiLee,EUW
harry,2011
Grenar1,EUW
happens,1010
Stewk,EUW
Ray Redd1ngton,EUW
Lx3,lefª
LG Aziαs,OGNAM
Zéo,003
thegamingKids1,EUW
Coven Namî,GAY
Don Carryone,EUW
M T H R X,PRIME
madmat07,EUW
cest quali,EUW
AziNox v3,EUW
SmurfingIsBad,True
twtv SupremeG0at,Akali
Pistacho,369
Gr3NoXx,EUW
Diamon Theif,EUW
Ölus Matzimus,EUW
SpyMays,EUW
Ölger,7000
Mauritz,TMG
LiuBai,001
Kjynne,EUW
Harry Callahan,1337
Heeentaiii,EUW
Bandeur2poulpe,Adri
Minion lvl 1,EUW
OTPTAHMKENCH,666
AirGanga,EUTOP
Kkachi,666
BØB,BOB
ItzIntegral,7777
Munkki,BARON
Glaurion,0405
D Kong,999
Ergone,1717
Guy Roux,ENLEC
Don Ponk ,EUW
Nooyk,gnomi
What is Winrate,EUW
LeTroll Business,EUW
Thomas,13579
BSTAYZ,00000
tactical dot,EUW
Sona masterclass,Lazer
AzoKiZ,Azo
HeartHunter5,EUW
Croguer,EUW
Marvin Rouge,OLIVE
DS Sefa,Temu
Kaancyy,kcy9
OG Dixon,EUW
Khada JuRz,EUW
Delev,EUW
ICH KOMME,CHALL
hello bro,EUW
Omnibrag,Omnib
JusticeForRen,7413
Blade of Sorrow,FDB
Miguels117,EUW
Dean Winchester,kkyys
Bri sin,001
KRIMAXDEAL,EUW
raFlashh,EUW
Conquest,MLG
no way,YEP
Pinchy,LoL
G0ujon,EUW
White Mamba,OST
RapMonsters,EUW99
dmvoli,EUW
Neuil Maudit,v3t4o
Engjiyy,EUW
ceporrin,FSG
CDLG Galywen,EUW
Fransk KartoffeI,EUW
MiniLili44,EUW
Kim0n,333
EMG Dionmaister,TopG
Waremon,EUW
tornadio92,EUW
Rashyy,EUW
Igor le sage,MGJ
modix06,EUW
Ebbelwoi Abuser,EUW
PEDRI,kira
Smoothie,KING
ImMaxax,EUW
Twitch Unrodeur,EUW
OguriCap,Pace
Nixor,ESP
Thaeus,41503
Koυssay3,EUW
Pils,8227
joraad baghi,EUW
052 Mghzu,91052
Mozak,207
Metabelette,0000
EyeballInDaHead,Tiv
Kaichou,0000
Pls Buff Azir,999
MagiskaBardyyian,xxxx
Zolazy,lazy
Oliswed,EUW
Máckan,Tank
Flufoo,EUW
maciekpietruszka,320
Keon,SSS
Specter,KR2
Dynova,1999
W I FUNGHI,EUW
SAUL GOODMAN,TRDS
Frair Kado,6059
UwU Dwego187,UWU
Ercees,EUW
MyBad iGuess,MBIG
FreakBob,EUs
Νoizy,EUW
Edgymoonboi,Aphe
white peach,lingi
RitoPatchAreJoke,fRito
v9 F1reFr0st,EUW
Xerxail,9LVS
BeanEaterRat,EUW
Seehaulin,EUW
bronzyforeverNA,5153
lulupetit,EUW
Martona,EUW
Yuta Okkotsu,1510
Two Punch Man,TWOPM
Blåbärspistolen,yum
Anthony,2106
Julppe,EUW
Jean Kulkhy,kulky
Tataki,EUW
Whispering Abyss,ok3
Glacial Storm,BIRD
WareZen,EUW
Cheeseburger,WOOOO
MajuKo,Akali
azre0,789
Jakob,EUW2
JSP PK JE PU XD,EUW
crisped,int
Staatsfeind Nr 1,Feind
SCORPION,GREED
El Tremendo Sick,DEMON
Bushgod,420
Jinjaro,EUW
I L I A S,saga
Cringemod,EUW
Xirogg,NÖLP
BIG DRIP,EXXD
Goons,COACH
Savor,EUW
unmatched,aion
Weakside only,SOLO
Spikie,57924
Frimannse,EUW
huzu16,EUW
PUNPUNZZZ,EUW
Mworni,EUW
Messi league acc,1211
Dansemanden,VSK
Droga e o Ret,CAIO
The Fool,Pose
Carros 2,Hdk
im tyrone,lll
Luko,001
Ritsugu,GOAT
JaneYi,two次元
iZatoz,EUW
RageSquid69,EUW
jeandugheto,EUW
le reptile vert ,EUW
Almighty Xygor,EUW
Ξ Im Fast AF Ξ,DOG
ToValhalla,PTR
HighTestoHighAPM,384
Never2Young2Dıe,perco
Tannzu,EUW
Lukáš Šustr,6912
TaliBlanc,eee
F R Q Q,EUW
CPLAY Jarne,TÖRÖÖ
Hoiyijun,EUW
Vertigo,4810
MawnShendes,EUW
Ameca,8457
FroopDog,EUW
Adori Zahard,1579
VICODINA,HIGH
hand in hand,607
CX Sleezer,CXEUW
Raúl95,KEKW
DKK Brøgz,DKK
Hogriiiider,EUW
Lamine Yamal,Hadrx
Zireael,2967
Nateau,2107
Dr0mex,EUW
Tempest,TSU
Revan,1541
Chhabi,2447
GentleNam,EUW
Arashi,AUM0
Briefeld007,EUW
Katon,SNE
SHEN R EXISTS,XDD
Dzansin,EUW
After Story,Aespa
clomnxx,wipe
Capercaillie01,EUW
MrPigkiller,EUW
BestxXRivenXxEUW,EUW
Lunarya,Bunny
hayatboktan,zort
LondonViper,666
Blind Ganks,EUW
PokiNOOB,1234
BluffyOP,EUW
Tom pls,EUW
Master Bator,HOFLS
motjaaa,00000
gentil forestier,jdid
ridjy,0000
Blackfurn,Nub
MAO TIGER,WSS
Aphophis,EUW
Triloxyy,EUW
Tang Longwang,POOH
Thegcaza,EUW
Kaeoky,EUWG2
THECHEMALC,EUW
adamm 09,SEJ
Brisingr23,EUW
Sir Leywin,EUW
TimeBreakerRohan,EUW
fizzwithoutrizz,EUW
Goth Girl,U w U
Time to Roam,EUW
SkodX,EUW
一枝唇戒德瑟 烂,中单哈士奇
Ryuk,EUWW
Andi Schlüpfer,EUW
Care splitpush,EUW
MNRM RORO,MNRM
TheRealMikeTV,EUW
188cm90kg19cm,3131
f0rzent,STX07
Val Mid,0001
Shmeon,Shme
Amixem,RDBOX
Roi Seguryyy,EUW
Mataroe,EUW
Biblenexus,EUW
CitizenAH,EUW
Konaern,EUW
TaliyahUltsUSA,EUW
Orcbolg,000
Zoulouph,GOAAT
Shiro Nguyen,EUW
Kenal,EUW
KingofBlup,EUW
CHAØS9,1917
Fikibom JWY,EUW
Nefarian Serpine,EUW
xìng yùn,1234
MaNiNii,0000
tea,46548
Urek Mazino,kzy
xPonZe,eee
juankur,EUW
VR4N4,EUW
Mitt smör stulet,EUW
FreshKiller1,EUW
عموري,JED
Tank,KAUNO
god of wars6,EUW
OG Marlos,EUW
TWTV DerNopi,win
onverslaanbaard,EUW
Zoerrita,EUW
chall,arc
Mystras,Myst
Chemera,9553
X CHETI365,RICH
see no hope,gloom
trapalol,EUW
NoTitsMoreCrits,QAZ38
D4stroy,EUW
draco23333,EUW
Dispossession,Kainé
Skiler,WORLD
Captain 5obza Oo,EUW
FNC Arrow ,EUW
Finety,EUW
Tazzuh,EUW
xddyuki,LINA
Epok Freeze,222
Konpondu,EUW
james dark,EURO
Nobitå Nobi,EUW
mal wieder lost,EUW
asciettarolo,EUW
LINK,PMU
leah halton,mcu
capcloser,6510
LuigiWC,EUW
Dieter Bowlen,EUW
lettuceawd,EUW
Ashdown,EUW
karimlejardinier,EUW
GOOßA,EUW
Futeyy2,EUW
Bubbles,PPGEU
whathehelly,euwq
SKT Garry,EUW
JJBomber,EUW
RasmusCro,EUW
Pegasø,WINGS
MarcelDerTürke,Törke
AFW siklas,EUW
Garen03,EUW
Derrick Rose,678
Meerkat Knight,EUW
GüIücük,sprt
ZeusZekaZoinker,ZIG
Myth,0101
Zougloudance,Vel
Valentin Bontus,Kite
Solana300,Trust
Taich1,Panda
BTY Naysi,EUW
pazune,EUW
Ichiko Aoba,Queen
Vale001,Vale
Schado,EU1
ADC,CBA
Bjerekt,EUW
Kehotu,EUW
7993,EUW
Beta WorldLine ,EUW
moya,ff20
Ghost,OBG
JeanLucLapomme,POMME
Rhymar,Aug
Dezkos,EUW
Shakér 2,EUW
2093,EUW
rumble is kappa,EUW
Amph1trite,0707
Yedda Houston,EUW
CAPYBARATIO,EUW
GYP,GYP99
Phalanx,aegis
Prinzen Olle,45631
Nowy17,EUW
Griffith,LVLD
nelaf2,EUW
oSNT,EUW
CLARK,1EUW
OniiYaz,EUW
Antidote,DYWBM
Dialgara,2109
ChristopherNolan,TOI
The Grey Man,EUW
Karatekamc,EUW
Baslokia,EUW
NIKOLEX,GRE
Panj,kuk
Gabor101,EUW
kekskuchen222,EUW
millzy,lol
Dovru,Kill
Lokalika,EUW
xXElectrobeatXx,EUW
Idontremember,EUW
Kadeshiii,EUW
doug,PDOUG
Aleex,6857
cyrilmans,EUW
Ånshan,3490
Drimzu,EUW
LE BÔ JE,PFF
KΛLΞHax,0104
BagietsonMichael,ESZ
Dawn,AAAA
Megekko,EUW
Fraise bois,EUW
Dane1,ΕUW
행복한박치기,Rin
Marc Ornstein,EUW
Milopti,EUW
l miss her,Hope
Orthros,RAB
DL Freddy,v9R
Oblivion,Betto
Steinx9,EUW
VForzy,EUW
uras56,panza
iboT,8529
EIusive,EUW
Smough,DGR
AndrewCOD80,TROLL
Expeditif,001
Muruky,Murky
SDE Switch,EUW
Cusp,gendr
Report4saying BG,AA26
Poes,meoww
Kalamahri,EUW
Dr Pepper,EUW15
R Woofer,EUW
AyoCoinFlipCheck,BAD
xXEliminatorXx,xddd
aken whiterose 빈,00137
BOT GAP OUUUUUUU,TOP1
MID STOP FEEDING,EUW
max3079,EUW
emsx07,emre
P1a9s1c0al,ARW
Martin Ødegaard,aeron
HelloKittyMahmut,XXX
SΔVIΘΓ,2001
Yassine03,Yass
white mustanq,EUW
G2N Michel,G2N
DiabloBast,EUW
jkjkjkjkjkjkj,Licht
Noahtjuhh,EUW
Notrightinhead,ellu
Amâra,EUW
熱異常,peak
rycerznakoniu69,666
antiflo,EUW
Chief Keef,ETAGG
HMB adi,JNG
unLucky,cwot
Spike,2707
Dhaedraa,EUW
Gubinak,BRO
Flojο,EUW
Teshi,sand
VHZ Froppan,1337
Pharus,EUW
Huseî,EUW
Dovahcake1,EUW
schockverliebt,十十十
lyxoR,77777
Sawh,EUW
TeemoMcButtercup,EUW
鲁贝恶魔,CSO
Big Mara Ippo,yuh
Démon Marrant,Jands
postpucio,0069
F0r3stGuy,EUW
Cash flow wizard,EUW
Hännës,JNXD
Tydrain,1905
Ataraxie,Calme
SakIas,EUW
Pyrasux,EUWFR
nightkiler77320,EUW
Guadadou,PROUT
Laxraey,EUW
flitzi77,Pyke
이쿠오 칼날 여신,01001
D Mighty Petsson,EUW
HonorMeWithHead,EUW
Ttoastty,Grrr
GambasMan,EUW
eldaniel321,EUW
Bubensahne,5345
BlazteursOP,EUW
Luckyfriday,EUW
buttermlich ,EUW
NOAH1111,EUW
Ryan,ADC
victor10mar,EUW
Cupra 6L,Dudu
ShaComing Out,EUW
LittleBrotherOfE,EUW
Tourment Obscur,DARK
Noble Poker,EUW
Siuhjin,DKNL
TheDester,ADC
Hexeria,EUW
Taste my Laser,Lux
Ùff,EUW
BleKz,DFG
Łuster Šøldier,EUW
MrHB1804,EUW
Mr 2 Bonclay,mugi
OTP REFORMED,EUW
xxDFATGUYDxx,EUW
SupremeVyperV2,EUW
Eak2019,EUW
Werpel,2HG
HP Envy 5530,Print
Zebelius,Chex
JUJUteuse,Cjuju
Pig Muffin,EUW
SpeedMeUp,9155
Schokoauto,EUW
Allié 1,POE
Titaboy,EUW
Errado,DILEI
Riekar,EUW
PÔLE LE FOU XD,PLFXD
Vareion,EUW
IM ON THE LIST,EPSTN
crazy for omeya,lovy
Ephilias,HIHI
無我夢中 阿鼻叫喚 支難滅裂,지옥변
Dukkha,Truth
Cosplay Pipounet,EUW
Caro,2547
Feior,EUW
DontReadThisPls,EUW
LonesomeBackpack,EUW
eliastopboss,ETB
NeverShower,Meow
Tortaken,pog
Vander,6748
vKiddinq,EUW
MIDLANE YETI,BALL
GalaHad15,EUW
Général Radaahn,RADAN
OLP PepZedz,MCU
Laskii,Laski
Uzi,dari
Ushuala,dofus
matiaslacasse,971
Jazzy Bazz,la 22
isaku,pog
Spirgius,EUW
Brink00,4015
Pulverize,Meow
Άννα Κόντη,ΣΩΤΑ
Dreamvibe,7306
Isa,lmeo
dessc,depor
demi fiend,0000
Feather В1tch,Amy
BalamI ,EUW
Kenshii,MELI
Frelas,EUW
Xeí,EUW
Cosmox,8888
Romssssssssss,EUW
Bouillé Dino,EUW
Musasshi,EUW
horny green eyes,BOY
LR  Fang,무적자
Wolf,Taken
Radiohead,CH75
mavrik,EUW
MidW,EUW
Rayzorac,EUW
XO TheWeeknd,EUW
Ridickk ,EUW
Talvi,Bel
KRIS DREEMURR,333
OFFICER K,아이고
Il pleut,Talon
OldWiseWølf,EUW
WilliamCR7,rolls
SERANO TRES SALÉ,JOANN
Edward Baldwin,JUKU
RadSport Rudi,EUW
KayleSuppNoTroll,1055
XTreeRexX,Tree
MusicBox,Kana
Somb,Simb
urf is fun,EUW
Leblanc,1744
MegafoS,EUW
xxGaylordxx,EUW
Ozunα,EUW
Hi Im Soe,EUW
Bjørn,EUW69
luis,7207
Prioridades,HIKA
GROSGRAS,oui
Kreuzritter Kurt,EUW
Mistery,0000
Bodhi K,EUW
Ward4Nothing,TROLL
Scarab,PTP
the postman,RTFM
Whiskey McFumble,1337
Trighur,ZEUB
Lofibeatstofeed9,EUW
Levtan,999
Krähe,mauer
Luciano in Miami,EUW
深情の机长,起飞中断
RD Aura,Kenfi
Eraisee,EUW
SmolSemiticNose,OROM
Eren,GER
Radler Raphael,EUW
LittleVoidBeast,ILU4E
Paranoyaque,MVP
SuperMalveillant,EUW
2Glaceon2,EUW
DieSeLntm,EUW
Booki,Boi
timi75,EUW
Dr Atomik,Moi
weakside sion,Sau
Tchoupaxito,2509
AGmafa,EUW
Focus,Zoe
SKIPI LÉGARÉ,DEMON
Silvan,S14
Bero,snus
TitoTheBigPoro28,3575
good girl,ily
Bel Bug,EUW
Nezek,DRZ
Raze,KEBAB
Souldannyx,EUW
Beeks,GOD
DàMir aZe,EUW
HelpSanjiLovesMe,なみさん
Weakside,2999
hatred,anto
BIG DADDY X,S3XY
J0yBOy666,EUW
Skaarlito,binks
deviljho69,EUW
Bellum,122
Michelprofond,EUW
Tristanhaver,EUW
KMS Cinder,SUPP
Munkad,EUW
LooksLikeDuck,Quack
Hero of Legends,EUW
DIVA,ambi
cityboys,0000
The Tyrone,EUW
Mickey Mouse,Rank1
ahmaddimo,EUW
Maneki,EUW
Nope,9977
Baako,047
Donkhi,EUW
Lil FentanyI,EUW
nazo ga tokete,yuku
lolencio16,EUW
Teddy Twitch ,EUW
Trahz,EUW
UltimateShadow,374
duhn123,EUW
MultiInSide,EUW
Titimous,Titi
Zzwip,SAUCE
ninkazie,EUW
200yearsjoachim,1337
kakatsuki crotte,6767
étagère motorisé,EUW
我们不会再见了,25424
Beezy,Bober
PDA Wolfy,Woof
jauqui,EUW
kwôM,EUW
NikNakzZ,AKALI
skarmol,EUW
N1KLURSSAF,6698
Ramsus,1312
Chogyur Lingpa ,EUW
Hacksaw Gaming,SLOTS
crashout,LOSEQ
xiaofuge,EUW
BB N1L8,FNC
SLY Mini,EUW
Renata Gap,Glasc
Sparxie,Chip
LENJ0,LENJO
Marcel der 1,EUW
Anonymouskiller9,2009
Alec001,EUW
Juckthartnicht,187
Lonser,EUW
Nicolas,28070
Faker en adsl,EUW
jujjer,0625
Rosa 4 win,ROSA
000111,十十十
Bentauer,EUW
3XA WANNABE,REAL
Pinuccia,7587
Monk of Lützerat,MONK
Erme,EUW
Victor,Oui
Nagi,Furbo
Ibou Konaté,EUW
SPRGHTI,EUW
AP JokeBox,Shaco
Ice,diffd
DerExpatiento,EUW
Jhindu,EUW
梦里说想你,YOYO
Bougouri,EUWE
H17,EUW
JBSuper BIG,EUW
Lupercal2,EUW
chokma,EUW
Jaysa,TUN
AllCreed,1337
IlluminatiMember,EUW
Tsaanewish,1744
bendikl,0070
Tsaanewish,1744
bendikl,0070
BIG BAD WOLF,MEGA
Jp745,EUW
geranimo10,EUW
foxtrotmac3,EUW
Kaka Sans Thé,oui
SNE Dexme,47623
FXCKTEBAS69,BALD
Cebr,2211
kaynon,kayn
Divine Emperor,EUW
Gerch85,EUW
STOP KITE ME,EUW
Angelito,2312
Castane,AUT
IME TRAFFICANTE,EUW
Cloomba,EUW
XxSamu11xX,EUW
MautzGenau,EUW
Wistobox,EUW
Pigeon Reformed,EUW
SimonzeMK,EUW
RekklesSon,SukIT
CoachMagne,Børn
Drscrew,EUW
rokemiau,EUW
Dopa,FRAUD
untouched,2324
Jubiko,cool
Jonhy,1001
zeus0109,EUW
JLKA0S,EUW
DM Arven11,EUW
BT Kyuzo,EUW
Paleelo,gulp
BarryTheBaron,EUW
holopeko,6661
TrYsIx7,777
Cheire,Hurt
NOTHlNG HAPPENED,E377
thomasbunds,EUW
VΣNÐξTTÃ,EUW
Aukoru,FDC
LPG,fill
Son of Ragnar,EUW
BOM L3MON,LEMON
BDB NoFace,BDB
Ubër Bagarre,EUW
mosquitom,DRIP
tagachi2000,EUW
laitmaternel,lait
lapo,jung
Lantern is Lava,SMTx
Oraph,06520
DerMichi7,EUW
L Marex,SADGE
DDT HARRYMAGUIRE,EUW
fut pl1 2 kk,KAKA
Karl,Karl
Dr Weakside,PHD
Scampacho,G4ZA
Kaktusguden,EUW
Carry moi senpai,EUW
KrazyBroSammy,EUW
误伤人名,6565
Rexfleuch,EUW
Torbulent,EUW
Raηia ,EUW
Sukui,2904
啵啵西uvu,Yus7
Abu Cheesecake,Essen
smgma,420
kulturkuruke,EUW
Azitorr,EUW
ataraxie,333
W K,IAMWK
VaPorTiChaval,FN1KA
AoE Surplouf,PEGG
GodLaw,EUW
Venus,hmm
Couleur Verte,KuuRn
MT1 Jola27,MT1
Valió la pena,EUW
Hazeschaden,69420
lone wolf,sunk
qwen3 max,QWEN
RobertoECabrera,EUW
Goredrinker Cat,EUW
Tirànioss,EUW
King Kong glizzy,02003
TheFrozenRocky,EUW
FaKeSsGoD,EUW
subzero73013rus,EUW
Wienscher Gnar,wien
kindmister,6068
KG FENIXRED,EUW
Eveur,777
Jhons,Jhin
chuchoxs,EUW
Dr Doom,bot
DomiXGamer,EUW
CannotGankSry,3681
Sakura,ITZYx
Moon,SZQ
BRRRR UZI,EUW
Souf,14cm
The Choosen ADC,EUW
Ruliosz,2003
Suseri,1997
MonsterRib,EUW
Stuffed,8941
NoPhilter,EUW
Phlegyàs,EUW
CryFlare,EUW
NEBUR AS,EUW
Alexandre Hakim,2007
Jack Frost,Jinx
Lord Pote,EUW
教授流れ,EUWW
Danny Womack,EUW
Eslah,7087
HomeIαnder,EUW
OniBakuLeo,777
FUNGLE J1ZZ,SPAT
Jon,fors
A Wild Franck,EUW
Chocoflakes,CHOKO
conoceaunamorsa,EUW
FaMouZSkillZ,EUW
Sμgμrμ,EUW
KingOfVolibear,EUW
